API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:16:47 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:30:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461134.437500000, A.D. 2026-Apr-03 22:30:00.0000, -9.251983353313264E+04, -1.745518933833333E+05, -1.662739731238731E+04, -3.668569152249684E-01, -1.462012037423871E+00, -1.320137869729754E-01,
2461134.458333333, A.D. 2026-Apr-03 23:00:00.0000, -9.317270442810420E+04, -1.771691660285612E+05, -1.686365881635238E+04, -3.586010571831219E-01, -1.446133860091581E+00, -1.305054138668177E-01,
2461134.479166667, A.D. 2026-Apr-03 23:30:00.0000, -9.381095799211902E+04, -1.797582043364068E+05, -1.709723935018986E+04, -3.506129923983853E-01, -1.430637486577939E+00, -1.290346248962567E-01,
2461134.500000000, A.D. 2026-Apr-04 00:00:00.0000, -9.443506338805247E+04, -1.823196793765537E+05, -1.732820494884510E+04, -3.428786076177456E-01, -1.415505145834169E+00, -1.275996446581145E-01,
2461134.520833333, A.D. 2026-Apr-04 00:30:00.0000, -9.504546532231275E+04, -1.848542312983784E+05, -1.755661856006516E+04, -3.353848254357638E-01, -1.400720235674261E+00, -1.261988165475206E-01,
2461134.541666667, A.D. 2026-Apr-04 01:00:00.0000, -9.564258582206948E+04, -1.873624713445731E+05, -1.778254024892664E+04, -3.281195091664733E-01, -1.386267224192258E+00, -1.248305926020979E-01,
2461134.562500000, A.D. 2026-Apr-04 01:30:00.0000, -9.622682585089319E+04, -1.898449836965687E+05, -1.800602738505318E+04, -3.210713781857543E-01, -1.372131561246781E+00, -1.234935243996910E-01,
2461134.583333333, A.D. 2026-Apr-04 02:00:00.0000, -9.679856678041887E+04, -1.923023271687778E+05, -1.822713481429502E+04, -3.142299324125896E-01, -1.358299598810128E+00, -1.221862548774123E-01,
2461134.604166667, A.D. 2026-Apr-04 02:30:00.0000, -9.735817173343149E+04, -1.947350367666550E+05, -1.844591501643442E+04, -3.075853847868058E-01, -1.344758519145393E+00, -1.209075109685527E-01,
2461134.625000000, A.D. 2026-Apr-04 03:00:00.0000, -9.790598681186199E+04, -1.971436251218447E+05, -1.866241825029340E+04, -3.011286007630886E-01, -1.331496269919836E+00, -1.196560969547017E-01,
