API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:30:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Mar-28 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-15 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461128.916666667, A.D. 2026-Mar-29 10:00:00.0000, -3.096839973207969E+05,  2.223071397493362E+05,  8.465794199074779E+03, -6.301181104047913E-01, -8.119782541871912E-01, -9.010134113004387E-02,
2461128.958333333, A.D. 2026-Mar-29 11:00:00.0000, -3.119379170112215E+05,  2.193734954647700E+05,  8.141033197827855E+03, -6.220511741610023E-01, -8.178102975524171E-01, -9.031997477989928E-02,
2461129.000000000, A.D. 2026-Mar-29 12:00:00.0000, -3.141627063919922E+05,  2.164190054100954E+05,  7.815500912937350E+03, -6.139347523553471E-01, -8.235591719642693E-01, -9.052983156210548E-02,
2461129.041666667, A.D. 2026-Mar-29 13:00:00.0000, -3.163581889073999E+05,  2.134439696963138E+05,  7.489228945772426E+03, -6.057697299706449E-01, -8.292244886312270E-01, -9.073090904829773E-02,
2461129.083333333, A.D. 2026-Mar-29 14:00:00.0000, -3.185241911915414E+05,  2.104486898164075E+05,  7.162248904799431E+03, -5.975569941203652E-01, -8.348058685779607E-01, -9.092320572328522E-02,
2461129.125000000, A.D. 2026-Mar-29 15:00:00.0000, -3.206605430757921E+05,  2.074334686099999E+05,  6.834592402301409E+03, -5.892974339384447E-01, -8.403029426457239E-01, -9.110672098124889E-02,
2461129.166666667, A.D. 2026-Mar-29 16:00:00.0000, -3.227670775958814E+05,  2.043986102280171E+05,  6.506291051111344E+03, -5.809919404692253E-01, -8.457153514915686E-01, -9.128145512184216E-02,
2461129.208333333, A.D. 2026-Mar-29 17:00:00.0000, -3.248436309985719E+05,  2.013444200973543E+05,  6.177376461359541E+03, -5.726414065575192E-01, -8.510427455863775E-01, -9.144740934619633E-02,
2461129.250000000, A.D. 2026-Mar-29 18:00:00.0000, -3.268900427479439E+05,  1.982712048855509E+05,  5.847880237235731E+03, -5.642467267388126E-01, -8.562847852117050E-01, -9.160458575282765E-02,
2461129.291666667, A.D. 2026-Mar-29 19:00:00.0000, -3.289061555312839E+05,  1.951792724654800E+05,  5.517833973765955E+03, -5.558087971296215E-01, -8.614411404554251E-01, -9.175298733344850E-02,
