date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2016-10-11,2,4.7,448.23,12.082474080687588,0.0
2016-10-12,3,5.4,532.6866666666666,12.94444728410305,212.2776766419632
2016-10-13,0,,,,
2016-10-14,0,,,,
2016-10-15,2,6.3,494.93,14.250865668082794,0.0
2016-10-16,0,,,,
2016-10-17,0,,,,
2016-10-18,1,5.9,540.0,13.650000000000002,0.0
2016-10-19,1,6.6,614.0,14.7,0.0
2016-10-20,1,5.0,653.46,12.3,0.0
2016-10-21,2,4.7,515.465,12.026434862436489,0.0
2016-10-22,0,,,,
2016-10-23,0,,,,
2016-10-24,0,,,,
2016-10-25,0,,,,
2016-10-26,0,,,,
2016-10-27,0,,,,
2016-10-28,1,5.8,457.86,13.5,0.0
2016-10-29,1,4.7,586.2,11.85,0.0
2016-10-30,1,4.5,596.87,11.55,0.0
2016-10-31,2,4.9,485.42,12.247322793708696,0.0
2016-11-01,0,,,,
2016-11-02,0,,,,
2016-11-03,3,4.5,535.5733333333334,12.027121254719663,3029.995155817559
2016-11-04,0,,,,
2016-11-05,0,,,,
2016-11-06,1,4.6,487.51,11.7,0.0
2016-11-07,2,4.7,537.23,12.082474080687588,0.0
2016-11-08,1,5.1,558.61,12.45,0.0
2016-11-09,2,5.9,468.53,13.668978441047736,0.0
2016-11-10,2,5.6,588.3399999999999,13.209615408440142,0.0
2016-11-11,1,4.7,348.86,11.85,0.0
2016-11-12,3,5.9,532.6566666666666,13.6643556082357,283.9028685035973
2016-11-13,2,4.6,488.045,11.932474080687586,0.0
2016-11-14,1,4.8,573.9,12.0,0.0
2016-11-15,0,,,,
2016-11-16,0,,,,
2016-11-17,0,,,,
2016-11-18,1,4.6,589.01,11.7,0.0
2016-11-19,4,4.8,556.17,12.3833795181937,3372.16962810725
2016-11-20,1,4.5,453.3,11.55,0.0
2016-11-21,2,4.5,589.24,11.851029995663982,0.0
2016-11-22,1,5.0,495.1,12.3,0.0
2016-11-23,1,5.8,481.0,13.5,0.0
2016-11-24,1,5.2,345.99,12.6,0.0
2016-11-25,1,4.5,539.64,11.55,0.0
2016-11-26,1,4.5,515.3,11.55,0.0
2016-11-27,1,4.9,584.68,12.15,0.0
2016-11-28,0,,,,
2016-11-29,2,4.7,475.31,12.082474080687588,0.0
2016-11-30,3,5.1,493.7933333333333,12.547529771719718,50.94593265569012
2016-12-01,1,4.8,572.49,12.0,0.0
2016-12-02,1,4.8,521.75,12.0,0.0
2016-12-03,1,4.5,600.22,11.55,0.0
2016-12-04,0,,,,
2016-12-05,2,6.3,540.115,14.251222286527138,0.0
2016-12-06,1,5.0,404.08,12.3,0.0
2016-12-07,0,,,,
2016-12-08,0,,,,
2016-12-09,0,,,,
2016-12-10,1,4.5,597.8,11.55,0.0
2016-12-11,1,5.3,467.06,12.75,0.0
2016-12-12,1,4.7,513.8,11.85,0.0
2016-12-13,2,5.4,451.71,12.937077764450722,0.0
2016-12-14,0,,,,
2016-12-15,1,4.5,559.73,11.55,0.0
2016-12-16,1,4.5,622.73,11.55,0.0
2016-12-17,0,,,,
2016-12-18,1,6.4,612.0,14.400000000000002,0.0
2016-12-19,1,4.5,510.85,11.55,0.0
2016-12-20,1,4.7,583.58,11.85,0.0
2016-12-21,2,4.9,483.855,12.247322793708696,0.0
2016-12-22,0,,,,
2016-12-23,0,,,,
2016-12-24,0,,,,
2016-12-25,0,,,,
2016-12-26,2,4.5,571.39,11.851029995663982,0.0
2016-12-27,0,,,,
2016-12-28,1,4.5,511.0,11.55,0.0
2016-12-29,0,,,,
2016-12-30,2,4.6,434.06,11.932474080687586,0.0
2016-12-31,0,,,,
2017-01-01,0,,,,
2017-01-02,4,6.3,492.5775,14.26519761979914,3862.9655455177904
2017-01-03,4,5.0,530.8299999999999,12.54392209885129,232.95001127450823
2017-01-04,2,4.5,553.845,11.851029995663982,0.0
2017-01-05,1,4.7,568.82,11.85,0.0
2017-01-06,2,4.7,554.065,12.151029995663984,0.0
2017-01-07,0,,,,
2017-01-08,1,4.6,543.8,11.7,0.0
2017-01-09,1,4.9,583.18,12.15,0.0
2017-01-10,4,7.3,556.3625,15.75032217514271,2689.054741774232
2017-01-11,2,4.7,570.385,12.026434862436489,0.0
2017-01-12,4,5.4,464.225,12.978053943643484,3923.724068870053
2017-01-13,1,4.5,513.81,11.55,0.0
2017-01-14,0,,,,
2017-01-15,0,,,,
